"Day.Mins","Day.Calls","Day.Charge","Eve.Mins","Eve.Calls","Eve.Charge","Night.Mins","Night.Calls","Night.Charge","Intl.Mins","Intl.Calls","Intl.Charge","Id"
203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,39
140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3,40
126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,41
124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10,4,2.7,43
85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,44
154,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,45
120.9,97,20.55,213,92,18.11,163.1,116,7.34,8.5,5,2.3,46
211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,47
187,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2,48
133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11,3,2.97,50
191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,51
220.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84,52
186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,53
160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,54
175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,56
126.9,98,21.57,180,62,15.3,140.8,128,6.34,8,2,2.16,57
148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,59
229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12,8,3.24,60
192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,61
268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,62
193.7,91,32.93,246.1,96,20.92,138,92,6.21,14.6,3,3.94,63
180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,64
131.2,98,22.3,162.9,97,13.85,159,106,7.15,8.2,6,2.21,65
148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,66
251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,67
125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,68
211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,69
241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,71
224.9,97,38.23,188.2,84,16,254.6,61,11.46,12.1,2,3.27,72
248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8,4,2.16,73
203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,74
235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12,3,3.24,75
157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,76
214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,79
170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15,2,4.05,80
201.1,99,34.19,303.5,74,25.8,224,119,10.08,13.2,2,3.56,81
215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,82
165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11,2,2.97,83
249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,84
179.3,104,30.48,225.9,86,19.2,323,78,14.54,8.6,7,2.32,86
214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12,2,3.24,88
154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,89
143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3,91
124.3,100,21.13,173,107,14.71,253.2,62,11.39,7.9,9,2.13,93
252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,94
179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,95
278.4,106,47.33,81,113,6.89,163.2,137,7.34,9.8,5,2.65,96
160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,97
198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,98
161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,101
178.3,137,30.31,189,76,16.07,129.1,102,5.81,14.6,5,3.94,102
151.7,82,25.79,119,105,10.12,180,100,8.1,10.5,6,2.84,103
135,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,104
170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,105
238.1,65,40.48,187.2,98,15.91,190,115,8.55,11.8,4,3.19,106
281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9,6,2.43,107
117.9,131,20.04,164.5,115,13.98,217,86,9.76,9.8,3,2.65,108
148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,109
229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,110
165,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,111
185,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,112
161,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,113
126.7,108,21.54,206,90,17.51,247.8,114,11.15,13.3,7,3.59,114
58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,115
162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,117
113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10,3,2.7,119
239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,120
210.2,92,35.73,227.3,77,19.32,200.1,116,9,13.1,7,3.54,121
213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,122
190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,123
170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,124
154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,125
201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12,3,3.24,126
91.7,90,15.59,193.7,123,16.46,175,86,7.88,9.2,4,2.48,129
214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,130
145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,131
166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,132
231,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,133
200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,134
197,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,135
129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,136
175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,137
203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12,3,3.24,138
183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,139
205,101,34.85,152,60,12.92,158.6,59,7.14,10.2,5,2.75,140
148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,141
200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,142
192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,143
246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,144
231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,146
146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,147
271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,148
181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,149
257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3,150
193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,151
102.8,119,17.48,206.7,91,17.57,299,105,13.46,10.1,7,2.73,152
187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,153
226,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,154
260.4,115,44.27,146,46,12.41,269.5,87,12.13,11.5,4,3.11,155
178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,156
157.6,129,26.79,247,96,21,259.2,112,11.66,13.7,2,3.7,158
183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,159
142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,160
136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,161
217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12,6,3.24,162
187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,163
98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,164
206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,165
243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,166
189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,167
202,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,168
170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,169
230.9,87,39.25,187.4,90,15.93,154,53,6.93,6.3,2,1.7,170
237.1,105,40.31,223.5,105,19,97.4,79,4.38,13.2,2,3.56,171
182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,172
119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,173
116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,174
219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,175
252.6,104,42.94,169,125,14.37,170.9,106,7.69,11.1,7,3,176
147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,177
202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,178
173.5,93,29.5,194.1,76,16.5,208,112,9.36,16.2,10,4.37,179
232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0,0,0,180
197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,181
115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,183
186.1,98,31.64,254.3,57,21.62,214,127,9.63,14.6,7,3.94,184
259.9,68,44.18,245,122,20.83,134.4,121,6.05,8.4,3,2.27,185
214.3,145,36.43,268.5,135,22.82,241.2,92,10.85,10.8,13,2.92,186
158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,187
271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,188
160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9,3,2.43,189
232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,190
133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,191
176.9,109,30.07,90.7,104,7.71,238,69,10.71,9.5,2,2.57,192
209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,193
137.5,118,23.38,203.2,88,17.27,150,131,6.75,13.4,2,3.62,194
289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,195
198.1,86,33.68,177,86,15.05,180.5,92,8.12,6.8,6,1.84,196
149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,197
83,64,14.11,177,106,15.05,245.7,89,11.06,13,3,3.51,200
145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,201
182.3,101,30.99,328.2,93,27.9,245,131,11.03,11.2,1,3.02,202
218,86,37.06,184,94,15.64,240.5,110,10.82,6.4,8,1.73,203
140.6,109,23.9,178.6,51,15.18,217,83,9.76,6.8,3,1.84,204
152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,205
106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,206
243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,207
194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,208
213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,209
217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27,210
241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,211
203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21,212
155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,213
167.6,139,28.49,113,118,9.61,246.9,121,11.11,12.2,6,3.29,214
179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,216
151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,217
180,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,7,1.27,218
223,121,37.91,110.1,98,9.36,188.7,107,8.49,7.1,12,1.92,220
183.6,116,31.21,152.6,98,12.97,212.2,99,9.55,12.2,6,3.29,221
166,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,222
136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,223
149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4,224
65.4,97,11.12,168.2,76,14.3,236,113,10.62,13.8,1,3.73,225
213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,226
206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,227
186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,228
280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59,229
196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,230
199,110,33.83,291.3,111,24.76,197.6,92,8.89,11,6,2.97,232
203.1,96,34.53,217,126,18.45,180.9,122,8.14,13.5,2,3.65,233
168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,234
173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,9,5,2.43,235
202.6,103,34.44,118.8,128,10.1,234.9,98,10.57,9,9,2.43,237
74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,238
83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,239
192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,240
220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,241
253.4,77,43.08,182.4,151,15.5,275.8,103,12.41,8.4,2,2.27,243
225,81,38.25,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92,244
110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,246
60,102,10.2,102.2,80,8.69,261.8,106,11.78,11.1,3,3,247
214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,248
181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,249
154,114,26.18,278,137,23.63,228.4,112,10.28,11.8,4,3.19,250
207.9,91,35.34,172,109,14.62,191.8,143,8.63,14.4,7,3.89,252
207,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,253
119,101,20.23,230,134,19.55,236.9,58,10.66,9.5,3,2.57,254
143.7,117,24.43,273,82,23.21,178.3,81,8.02,10.9,3,2.94,255
165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,256
138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,257
84.7,118,14.4,249.9,86,21.24,193.4,95,8.7,14.5,8,3.92,258
155.2,79,26.38,235.3,123,20,169.4,80,7.62,8.7,4,2.35,260
164.9,110,28.03,209.3,105,17.79,231.2,55,10.4,6.7,9,1.81,261
134.5,88,22.87,143.1,112,12.16,223.9,61,10.08,15.4,1,4.16,262
143.3,103,24.36,211.3,108,17.96,185.2,96,8.33,11.5,3,3.11,263
168.3,110,28.61,221.2,73,18.8,241,136,10.85,12.5,1,3.38,264
262.4,55,44.61,194.6,113,16.54,146.5,85,6.59,8.3,6,2.24,265
206.2,79,35.05,260,91,22.1,291.6,83,13.12,11.4,6,3.08,266
225.8,94,38.39,193,117,16.41,232.4,100,10.46,8.4,9,2.27,267
138.3,89,23.51,170.5,78,14.49,263.9,98,11.88,13.5,6,3.65,268
94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,269
160,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,270
206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94,271
134.7,121,22.9,180,83,15.3,200.9,104,9.04,7.7,3,2.08,272
214.4,78,36.45,235.2,100,19.99,206.2,107,9.28,8,13,2.16,273
192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,13,3,3.51,274
151.1,90,25.69,194.8,79,16.56,239.2,114,10.76,10,3,2.7,275
221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,276
218.9,88,37.21,208,85,17.68,203.3,99,9.15,11.1,4,3,277
192.7,85,32.76,225.9,105,19.2,254.2,59,11.44,10.9,6,2.94,279
204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,10.5,6,2.84,280
172.3,97,29.29,174,108,14.79,188.2,119,8.47,13,4,3.51,281
198.4,93,33.73,210.9,108,17.93,193.3,71,8.7,10.4,6,2.81,282
211.7,115,35.99,159.9,84,13.59,144.1,80,6.48,12.2,1,3.29,283
221.6,74,37.67,288.4,100,24.51,240.3,105,10.81,9,2,2.43,284
197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,285
147.5,90,25.08,175.7,108,14.93,252.1,102,11.34,15.6,3,4.21,286
206.4,122,35.09,128,102,10.88,194.5,84,8.75,8.8,5,2.38,287
205.9,88,35,209.3,86,17.79,289.9,84,13.05,14.5,4,3.92,288
207.6,88,35.29,132.4,63,11.25,255.2,98,11.48,14.1,5,3.81,289
230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8,2,2.16,291
99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62,292
177.1,112,30.11,194,112,16.49,146.7,108,6.6,5.9,4,1.59,293
172.7,86,29.36,133.4,113,11.34,259.5,70,11.68,9.8,3,2.65,295
204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,296
85.7,83,14.57,247.7,67,21.05,142.4,85,6.41,10.1,5,2.73,297
157.6,117,26.79,184.3,58,15.67,240.4,99,10.82,11.9,1,3.21,298
215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,299
181.5,98,30.86,199.9,88,16.99,287.7,114,12.95,6.6,5,1.78,300
171.7,80,29.19,110.4,81,9.38,195.4,111,8.79,11.9,4,3.21,301
158,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46,304
92,117,15.64,253.6,77,21.56,214.1,90,9.63,10.3,10,2.78,305
234,109,39.78,249.5,114,21.21,173.1,70,7.79,9.1,5,2.46,306
194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,11.4,2,3.08,309
227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,310
236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,312
205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,313
94.1,136,16,280.3,122,23.83,205,77,9.23,9.8,4,2.65,314
125.2,99,21.28,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1,315
60.4,158,10.27,306.2,120,26.03,123.9,46,5.58,12.4,3,3.35,316
121,105,20.57,270.4,100,22.98,160.5,76,7.22,7.7,4,2.08,317
117.8,66,20.03,256.8,114,21.83,147.6,76,6.64,7.6,3,2.05,318
232.4,96,39.51,211.9,118,18.01,273,102,12.29,5,5,1.35,319
176.3,79,29.97,259.2,97,22.03,287.4,78,12.93,6.2,3,1.67,321
125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,322
138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10,3,2.7,323
86.3,134,14.67,246.6,92,20.96,251.6,91,11.32,11.3,4,3.05,324
207,91,35.19,154.9,121,13.17,245.1,112,11.03,13.4,5,3.62,325
58.8,104,10,219.5,107,18.66,152.3,118,6.85,7.1,3,1.92,326
68.7,95,11.68,209.2,69,17.78,197.4,42,8.88,11.4,4,3.08,327
239.2,109,40.66,235.5,112,20.02,156.3,95,7.03,9.5,4,2.57,328
198.3,130,33.71,217.1,86,18.45,188.4,96,8.48,12.5,3,3.38,329
205.2,97,34.88,240.6,77,20.45,79.7,108,3.59,14.4,12,3.89,330
192.1,98,32.66,312.9,135,26.6,130.2,94,5.86,7.9,2,2.13,331
169.6,99,28.83,264.1,87,22.45,206.3,78,9.28,9.3,4,2.51,334
201.3,95,34.22,152.8,66,12.99,233.2,101,10.49,7.5,4,2.03,335
214.7,97,36.5,138.5,90,11.77,169.1,44,7.61,8.6,4,2.32,336
169.2,70,28.76,271.5,77,23.08,170.2,104,7.66,10.6,2,2.86,337
194.1,121,33,176.6,110,15.01,302.8,136,13.63,7,7,1.89,338
233.8,104,39.75,266.5,94,22.65,212.7,104,9.57,7.6,3,2.05,339
225.1,67,38.27,199.2,127,16.93,175.5,102,7.9,14.6,2,3.94,340
183.9,115,31.26,255.9,101,21.75,275,145,12.38,10.8,11,2.92,342
221.8,105,37.71,161.7,85,13.74,227.7,62,10.25,14,7,3.78,343
64.6,98,10.98,176.1,86,14.97,244.8,84,11.02,0,0,0,344
154.6,92,26.28,83.4,103,7.09,165.9,99,7.47,13.3,3,3.59,345
260.2,131,44.23,179.2,120,15.23,135,119,6.08,7.2,8,1.94,346
161.6,117,27.47,123,90,10.46,261.3,101,11.76,12.2,5,3.29,347
220.6,117,37.5,155.2,121,13.19,186.7,89,8.4,10.5,11,2.84,348
155.9,122,26.5,162.3,107,13.8,127.6,105,5.74,13.1,5,3.54,349
182.5,104,31.03,204.7,95,17.4,229.9,100,10.35,11.3,8,3.05,351
220.1,78,37.42,234.3,71,19.92,237.3,85,10.68,10.1,4,2.73,352
152.2,112,25.87,177.2,132,15.06,96.4,87,4.34,5.3,3,1.43,353
181.5,95,30.86,205.1,88,17.43,204,82,9.18,14.7,9,3.97,354
166.1,105,28.24,79.3,93,6.74,213.7,98,9.62,12.7,2,3.43,356
244.6,89,41.58,188.8,80,16.05,206,114,9.27,11.3,4,3.05,357
134.2,85,22.81,227.3,132,19.32,122.4,96,5.51,8.5,2,2.3,358
149.7,122,25.45,211.1,75,17.94,114.3,90,5.14,9.2,4,2.48,359
150.1,109,25.52,264.7,103,22.5,178.4,97,8.03,5.8,4,1.57,360
124.4,83,21.15,179.7,81,15.27,253,99,11.39,11.3,6,3.05,362
141.7,121,24.09,232.3,113,19.75,222.1,131,9.99,12,5,3.24,363
230,87,39.1,103.2,138,8.77,309.6,136,13.93,11.3,3,3.05,364
162.3,88,27.59,213.7,118,18.16,192.1,81,8.64,10.9,2,2.94,365
193.3,96,32.86,264.1,123,22.45,128.6,115,5.79,9.1,3,2.46,367
78.2,127,13.29,253.4,108,21.54,255,100,11.48,18,3,4.86,368
83.4,110,14.18,232.2,137,19.74,146.7,114,6.6,7.6,5,2.05,369
195.6,99,33.25,267.8,120,22.76,164.9,76,7.42,16,2,4.32,370
201.8,81,34.31,225,114,19.13,204.4,82,9.2,10.3,6,2.78,371
197,110,33.49,222.8,102,18.94,225.3,91,10.14,10.6,6,2.86,372
164.8,98,28.02,229.9,96,19.54,167.3,108,7.53,14.8,2,4,374
179.2,77,30.46,210.7,99,17.91,276.9,58,12.46,9.2,6,2.48,375
214,113,36.38,180,114,15.3,134.5,82,6.05,10.6,5,2.86,376
170.5,87,28.99,118.2,116,10.05,187.9,111,8.46,11.2,7,3.02,377
205.7,123,34.97,214.5,108,18.23,226.1,106,10.17,6.7,18,1.81,378
221,100,37.57,160.7,113,13.66,233.1,96,10.49,6.8,4,1.84,380
242.1,118,41.16,191,93,16.24,218.6,50,9.84,14.7,2,3.97,381
151.6,107,25.77,155.4,96,13.21,240,112,10.8,14.7,4,3.97,382
176.2,87,29.95,145,81,12.33,249.5,92,11.23,5.7,4,1.54,383
196,82,33.32,322.7,82,27.43,225.6,120,10.15,3.7,5,1,384
159.5,125,27.12,247.1,90,21,187.9,82,8.46,7.2,4,1.94,385
230.2,113,39.13,220.4,79,18.73,204.7,111,9.21,10.7,7,2.89,386
146.7,64,24.94,274,99,23.29,321.3,98,14.46,8.9,1,2.4,387
210.5,102,35.79,204.5,83,17.38,127.8,53,5.75,8.5,5,2.3,388
