"Int.l.Plan","VMail.Plan","VMail.Message","Id"
"no","yes",34,1241
"no","yes",33,1255
"no","yes",31,1264
"no","yes",45,1270
"no","no",0,1274
"no","no",0,1277
"no","no",0,1279
"no","no",0,1281
"no","no",0,1285
"no","no",0,1300
"no","no",0,1303
"no","no",0,1307
"no","no",0,1311
"yes","no",0,1323
"no","yes",31,1326
"no","no",0,1328
"no","no",0,1335
"yes","no",0,1338
"yes","no",0,1340
"no","no",0,1345
"no","no",0,1346
"yes","no",0,1347
"no","no",0,1351
"no","no",0,1360
"no","no",0,1365
"no","no",0,1374
"no","no",0,1377
"no","no",0,1393
"no","no",0,1406
"no","yes",31,1408
"yes","no",0,1421
"yes","yes",19,1436
"no","no",0,1443
"no","yes",44,1455
"yes","yes",35,1468
"yes","no",0,1473
"yes","no",0,1485
"no","yes",30,1494
"no","no",0,1517
"no","no",0,1529
"no","no",0,1531
"yes","no",0,1532
"no","yes",18,1533
"yes","no",0,1534
"no","no",0,1535
"yes","yes",21,1538
"no","no",0,1539
"no","no",0,1552
"no","no",0,1586
"yes","no",0,1594
"yes","no",0,1602
"no","no",0,1615
"no","no",0,1620
"no","no",0,1636
"no","no",0,1639
"no","no",0,1647
"yes","no",0,1652
"yes","no",0,1654
"yes","no",0,1663
"yes","no",0,1675
"no","no",0,1680
"no","no",0,1692
"no","no",0,1693
"no","no",0,1695
"no","no",0,1702
"no","no",0,1703
"no","no",0,1705
"no","no",0,1708
"no","no",0,1714
"yes","no",0,1719
"no","no",0,1732
"no","no",0,1737
"no","no",0,1740
"no","no",0,1747
"no","no",0,1751
"yes","no",0,1753
"yes","no",0,1755
"no","no",0,1765
"no","no",0,1766
"yes","no",0,1769
"no","no",0,1778
"yes","no",0,1785
"no","no",0,1795
"yes","no",0,1805
"yes","no",0,1838
"no","no",0,1843
"no","yes",28,1845
"yes","no",0,1846
"no","no",0,1850
"no","yes",26,1851
"no","no",0,1852
"no","no",0,1858
"yes","yes",16,1862
"yes","no",0,1863
"no","no",0,1866
"no","no",0,1867
"no","no",0,1870
"no","no",0,1879
"no","no",0,1881
"no","no",0,1882
"yes","yes",28,1888
"no","no",0,1890
"yes","no",0,1893
"no","no",0,1894
"no","no",0,1899
"yes","yes",38,1904
"no","yes",33,1905
"no","no",0,1913
"no","no",0,1920
"no","no",0,1934
"no","no",0,1935
"yes","yes",42,1936
"no","no",0,1940
"no","no",0,1951
"no","no",0,1955
"no","no",0,1966
"no","yes",20,1975
"yes","no",0,1978
"yes","no",0,1979
"no","no",0,1985
"no","no",0,2002
"no","no",0,2029
"yes","no",0,2030
"no","no",0,2034
"no","no",0,2039
"no","no",0,2060
"no","no",0,2070
"yes","no",0,2077
"no","no",0,2100
"no","no",0,2104
"yes","yes",18,2107
"no","no",0,2108
"no","no",0,2113
"no","no",0,2114
"yes","no",0,2116
"yes","no",0,2119
"no","no",0,2120
"yes","no",0,2140
"no","no",0,2143
"no","no",0,2148
"no","no",0,2151
"no","no",0,2156
"yes","no",0,2159
"yes","no",0,2161
"yes","no",0,2165
"yes","no",0,2174
"no","no",0,2187
"no","no",0,2188
"yes","no",0,2204
"no","no",0,2211
"no","no",0,2214
"no","no",0,2216
"no","no",0,2219
"no","no",0,2238
"no","no",0,2239
"yes","no",0,2259
"no","no",0,2268
"no","no",0,2284
"no","no",0,2291
"no","no",0,2325
"no","no",0,2326
"no","no",0,2328
"yes","no",0,2336
"yes","no",0,2344
"yes","yes",29,2348
"no","no",0,2355
"no","no",0,2357
"no","no",0,2358
"no","no",0,2370
"no","no",0,2377
"no","yes",36,2378
"no","no",0,2381
"yes","no",0,2387
"no","yes",32,2388
"no","no",0,2389
"no","no",0,2390
"no","no",0,2398
"yes","no",0,2402
"no","yes",33,2403
"no","yes",29,2406
"yes","yes",31,2408
"no","no",0,2413
"no","no",0,2416
"no","no",0,2420
"yes","no",0,2421
"no","no",0,2422
"no","no",0,2429
"no","no",0,2433
"no","yes",31,2438
"no","no",0,2452
"yes","yes",41,2469
"no","no",0,2473
"yes","yes",29,2480
"no","no",0,2490
"no","no",0,2494
"no","no",0,2516
"yes","no",0,2527
"no","no",0,2534
"no","no",0,2536
"no","no",0,2537
"yes","yes",28,2540
"no","no",0,2543
"no","no",0,2568
"no","no",0,2573
"no","no",0,2574
"no","no",0,2576
"no","no",0,2582
"no","no",0,2592
"yes","no",0,2595
"no","no",0,2596
"no","no",0,2600
"yes","no",0,2603
"no","no",0,2607
"yes","no",0,2615
"yes","yes",35,2620
"no","no",0,2625
"no","yes",32,2630
"yes","no",0,2646
"no","no",0,2648
"no","no",0,2661
"yes","no",0,2663
"yes","yes",26,2665
"yes","no",0,2667
"yes","no",0,2673
"no","no",0,2674
"no","no",0,2678
"no","no",0,2682
"yes","yes",29,2688
"no","no",0,2695
"no","no",0,2697
"no","no",0,2701
"no","no",0,2709
"no","no",0,2711
"no","no",0,2725
"no","no",0,2732
"yes","no",0,2733
"yes","yes",26,2736
"no","yes",40,2746
"no","no",0,2748
"yes","no",0,2761
"no","no",0,2773
"no","yes",34,2774
"yes","yes",32,2775
"no","no",0,2785
"no","no",0,2786
"no","yes",29,2787
"yes","no",0,2795
"yes","no",0,2801
"no","no",0,2817
"no","no",0,2820
"no","no",0,2825
"no","no",0,2828
"yes","no",0,2829
"no","no",0,2840
"no","yes",32,2866
"yes","no",0,2869
"no","no",0,2875
"yes","no",0,2883
"no","no",0,2885
"no","no",0,2890
"no","no",0,2901
"no","yes",17,2902
"no","no",0,2909
"no","no",0,2925
"no","no",0,2926
"no","no",0,2927
"no","no",0,2935
"no","no",0,2937
"yes","no",0,2943
"no","no",0,2948
"no","no",0,2951
"no","no",0,2953
"no","no",0,2959
"no","no",0,2961
"no","yes",36,2962
"no","no",0,2965
"no","no",0,2969
"yes","no",0,2972
"no","yes",35,2973
"no","no",0,2980
"no","no",0,2981
"yes","no",0,2988
"yes","no",0,2990
"no","no",0,2995
"no","no",0,3003
"no","no",0,3020
"no","yes",35,3024
"no","no",0,3036
"no","no",0,3046
"no","no",0,3051
"no","no",0,3065
"no","no",0,3071
"no","no",0,3073
"no","no",0,3080
"no","no",0,3094
"no","no",0,3113
"no","no",0,3114
"no","no",0,3126
"no","no",0,3128
"no","no",0,3133
"no","no",0,3145
"yes","no",0,3149
"no","no",0,3152
"yes","no",0,3158
"no","no",0,3167
"no","no",0,3169
"no","no",0,3170
"yes","no",0,3190
"no","no",0,3191
"no","no",0,3192
"no","no",0,3206
"yes","yes",24,3210
"no","no",0,3225
"no","no",0,3227
"no","no",0,3239
"yes","no",0,3242
"yes","no",0,3244
"yes","yes",44,3247
"no","no",0,3248
"yes","no",0,3256
"no","no",0,3266
"no","no",0,3269
"no","no",0,3273
"no","no",0,3281
"no","yes",42,3288
"yes","yes",22,3292
"no","no",0,3302
"yes","no",0,3305
"yes","no",0,3321
"no","no",0,3323
"no","no",0,3324
