"fecha","cp","tipo","transacciones","importe","importetotal","mes"
"2015-01-03",48013,"beauty",5,67.63,338.15,1
"2015-01-03",48013,"fashionsme",4,219.6,878.4,1
"2015-01-03",48013,"pharmacy",1,36.39,36.39,1
"2015-01-03",48014,"foodsme",25,39.97,999.25,1
"2015-01-03",48014,"fashionsme",21,54.29,1140.09,1
"2015-01-03",48014,"restaurant",9,36.05,324.45,1
"2015-01-03",48014,"beauty",9,38.64,347.76,1
"2015-01-03",48014,"pharmacy",8,44.2,353.6,1
"2015-01-03",48015,"beauty",10,58.3,583,1
"2015-01-03",48015,"foodsme",6,18.07,108.42,1
"2015-01-03",48015,"restaurant",3,108.81,326.43,1
"2015-01-03",48015,"fashionsme",1,11.9,11.9,1
"2015-01-03",48015,"pharmacy",1,29.72,29.72,1
"2015-01-04",48005,"restaurant",33,67.88,2240.04,1
"2015-01-04",48005,"pharmacy",5,18.77,93.85,1
"2015-01-04",48005,"foodsme",5,29.29,146.45,1
"2015-01-04",48008,"restaurant",15,76.39,1145.85,1
"2015-01-04",48008,"pharmacy",10,22.81,228.1,1
"2015-01-04",48008,"foodsme",1,37.15,37.15,1
"2015-01-04",48008,"fashionsme",1,22.98,22.98,1
"2015-01-04",48009,"restaurant",31,85.68,2656.08,1
"2015-01-04",48009,"foodsme",3,102.5,307.5,1
"2015-01-04",48011,"restaurant",29,88.18,2557.22,1
"2015-01-04",48011,"pharmacy",7,18.11,126.77,1
"2015-01-04",48011,"foodsme",1,44,44,1
"2015-01-04",48011,"fashionsme",1,273,273,1
"2015-01-04",48012,"pharmacy",3,19.2,57.6,1
"2015-01-04",48012,"fashionsme",2,18.47,36.94,1
"2015-01-04",48012,"restaurant",2,56.45,112.9,1
"2015-01-04",48013,"restaurant",7,61.31,429.17,1
"2015-01-04",48013,"foodsme",1,27,27,1
"2015-01-05",48001,"fashionsme",53,58.01,3074.53,1
"2015-01-05",48001,"restaurant",50,60.08,3004,1
"2015-01-05",48001,"foodsme",43,57.26,2462.18,1
"2015-01-05",48001,"beauty",16,77.87,1245.92,1
"2015-01-05",48001,"pharmacy",16,19.83,317.28,1
"2015-01-05",48002,"fashionsme",10,58.82,588.2,1
"2015-01-05",48002,"pharmacy",8,45.23,361.84,1
"2015-01-05",48002,"beauty",5,39.01,195.05,1
"2015-01-05",48002,"foodsme",3,24,72,1
"2015-01-05",48002,"restaurant",1,17.16,17.16,1
"2015-01-05",48003,"foodsme",13,16.88,219.44,1
"2015-01-05",48003,"pharmacy",12,31.99,383.88,1
"2015-01-05",48003,"restaurant",6,34.02,204.12,1
"2015-01-05",48003,"beauty",4,41.53,166.12,1
"2015-01-05",48003,"fashionsme",2,35.81,71.62,1
"2015-01-05",48004,"fashionsme",47,51.74,2431.78,1
"2015-01-05",48004,"foodsme",28,27.58,772.24,1
"2015-01-05",48004,"pharmacy",25,29.43,735.75,1
"2015-01-05",48004,"beauty",6,44.49,266.94,1
"2015-01-05",48004,"restaurant",4,46.28,185.12,1
"2015-01-05",48005,"fashionsme",130,65.69,8539.7,1
"2015-01-05",48005,"foodsme",46,34.34,1579.64,1
"2015-01-05",48005,"restaurant",29,42.18,1223.22,1
"2015-01-05",48005,"pharmacy",5,20.78,103.9,1
"2015-01-05",48005,"beauty",2,52.7,105.4,1
"2015-01-05",48006,"fashionsme",18,32.03,576.54,1
"2015-01-05",48006,"foodsme",18,33.07,595.26,1
"2015-01-05",48006,"pharmacy",12,22.65,271.8,1
"2015-01-05",48006,"restaurant",5,46.71,233.55,1
"2015-01-05",48006,"beauty",3,21.37,64.11,1
"2015-01-05",48008,"fashionsme",93,90.39,8406.27,1
"2015-01-05",48008,"restaurant",51,59.26,3022.26,1
"2015-01-05",48008,"pharmacy",25,38.07,951.75,1
"2015-01-05",48008,"foodsme",18,88.62,1595.16,1
"2015-01-05",48008,"beauty",9,84.86,763.74,1
"2015-01-05",48009,"fashionsme",207,82.24,17023.68,1
"2015-01-05",48009,"foodsme",53,30.97,1641.41,1
"2015-01-05",48009,"restaurant",48,79.81,3830.88,1
"2015-01-05",48009,"pharmacy",31,59.37,1840.47,1
"2015-01-05",48009,"beauty",20,53.99,1079.8,1
"2015-01-05",48010,"foodsme",47,36,1692,1
"2015-01-05",48010,"beauty",30,63.55,1906.5,1
"2015-01-05",48010,"fashionsme",25,78.26,1956.5,1
"2015-01-05",48010,"restaurant",18,55.91,1006.38,1
"2015-01-05",48010,"pharmacy",12,31.32,375.84,1
"2015-01-05",48011,"fashionsme",311,76.92,23922.12,1
"2015-01-05",48011,"foodsme",32,36.75,1176,1
"2015-01-05",48011,"restaurant",32,60.11,1923.52,1
"2015-01-05",48011,"pharmacy",25,38.73,968.25,1
"2015-01-05",48011,"beauty",17,66.39,1128.63,1
"2015-01-05",48012,"pharmacy",18,39.14,704.52,1
"2015-01-05",48012,"fashionsme",18,46.2,831.6,1
"2015-01-05",48012,"foodsme",16,28.85,461.6,1
"2015-01-05",48012,"beauty",4,58.27,233.08,1
"2015-01-05",48012,"restaurant",2,160.25,320.5,1
"2015-01-05",48013,"foodsme",31,34.56,1071.36,1
"2015-01-05",48013,"restaurant",14,74.07,1036.98,1
"2015-01-05",48013,"beauty",14,45.7,639.8,1
"2015-01-05",48013,"fashionsme",11,97.4,1071.4,1
"2015-01-05",48013,"pharmacy",10,27.07,270.7,1
"2015-01-05",48014,"fashionsme",37,43.77,1619.49,1
"2015-01-05",48014,"pharmacy",32,37.17,1189.44,1
"2015-01-05",48014,"foodsme",29,46.01,1334.29,1
"2015-01-05",48014,"beauty",19,38.79,737.01,1
"2015-01-05",48014,"restaurant",10,39.16,391.6,1
"2015-01-05",48015,"pharmacy",15,25.83,387.45,1
"2015-01-05",48015,"fashionsme",8,30.22,241.76,1
"2015-01-05",48015,"beauty",7,51.56,360.92,1
"2015-01-05",48015,"foodsme",3,20.17,60.51,1
"2015-01-05",48015,"restaurant",2,545.05,1090.1,1
"2015-01-06",48004,"restaurant",7,129.57,906.99,1
"2015-01-06",48004,"foodsme",2,25.03,50.06,1
"2015-01-06",48005,"restaurant",25,134.06,3351.5,1
"2015-01-06",48005,"pharmacy",5,15.72,78.6,1
"2015-01-06",48005,"foodsme",5,26.32,131.6,1
"2015-01-06",48007,"restaurant",8,147.45,1179.6,1
"2015-01-06",48008,"restaurant",23,117.98,2713.54,1
"2015-01-06",48008,"pharmacy",9,35.73,321.57,1
"2015-01-06",48008,"fashionsme",3,32.31,96.93,1
"2015-01-06",48008,"foodsme",1,116.75,116.75,1
"2015-01-06",48009,"restaurant",45,178.52,8033.4,1
"2015-01-06",48009,"foodsme",6,33.08,198.48,1
"2015-01-06",48010,"restaurant",14,230.95,3233.3,1
"2015-01-06",48010,"foodsme",14,46.24,647.36,1
"2015-01-06",48011,"restaurant",19,121.13,2301.47,1
"2015-01-06",48011,"foodsme",4,37.71,150.84,1
"2015-01-06",48011,"pharmacy",3,16.96,50.88,1
"2015-01-06",48012,"restaurant",6,117.27,703.62,1
"2015-01-06",48012,"pharmacy",2,14.55,29.1,1
"2015-01-06",48012,"foodsme",1,13.7,13.7,1
"2015-01-06",48013,"restaurant",16,166.45,2663.2,1
"2015-01-06",48013,"foodsme",4,36.75,147,1
"2015-01-06",48014,"restaurant",8,227.69,1821.52,1
"2015-01-06",48014,"pharmacy",1,29.75,29.75,1
"2015-01-07",48001,"fashionsme",59,118.31,6980.29,1
"2015-01-07",48001,"restaurant",52,37.36,1942.72,1
"2015-01-07",48001,"pharmacy",18,31.22,561.96,1
"2015-01-07",48001,"beauty",13,69.85,908.05,1
"2015-01-07",48001,"foodsme",11,28.56,314.16,1
"2015-01-07",48002,"pharmacy",6,35.33,211.98,1
"2015-01-07",48002,"beauty",2,55,110,1
"2015-01-07",48002,"fashionsme",2,16.48,32.96,1
"2015-01-07",48002,"restaurant",1,21,21,1
"2015-01-07",48002,"foodsme",1,27.04,27.04,1
"2015-01-07",48003,"foodsme",8,16.57,132.56,1
"2015-01-07",48003,"restaurant",7,44.45,311.15,1
"2015-01-07",48003,"beauty",7,33.63,235.41,1
"2015-01-07",48003,"pharmacy",6,12.24,73.44,1
"2015-01-07",48003,"fashionsme",2,14.88,29.76,1
"2015-01-07",48004,"fashionsme",21,94.41,1982.61,1
"2015-01-07",48004,"pharmacy",16,28.42,454.72,1
"2015-01-07",48004,"beauty",11,35.2,387.2,1
"2015-01-07",48004,"foodsme",6,19.13,114.78,1
"2015-01-07",48004,"restaurant",2,33.4,66.8,1
"2015-01-07",48005,"fashionsme",125,94.54,11817.5,1
"2015-01-07",48005,"foodsme",18,23.15,416.7,1
"2015-01-07",48005,"restaurant",17,35.21,598.57,1
"2015-01-07",48005,"pharmacy",12,42.7,512.4,1
"2015-01-07",48005,"beauty",3,28.87,86.61,1
"2015-01-07",48006,"fashionsme",17,44.19,751.23,1
"2015-01-07",48006,"foodsme",10,28.68,286.8,1
"2015-01-07",48006,"pharmacy",8,25.85,206.8,1
"2015-01-07",48006,"beauty",2,46.05,92.1,1
"2015-01-07",48006,"restaurant",1,12.2,12.2,1
"2015-01-07",48007,"pharmacy",15,32.73,490.95,1
"2015-01-07",48007,"fashionsme",12,57.35,688.2,1
"2015-01-07",48007,"foodsme",8,49.36,394.88,1
"2015-01-07",48007,"beauty",7,42.54,297.78,1
"2015-01-07",48007,"restaurant",4,32.22,128.88,1
"2015-01-07",48008,"fashionsme",71,101.05,7174.55,1
"2015-01-07",48008,"restaurant",44,34.6,1522.4,1
"2015-01-07",48008,"pharmacy",28,33.42,935.76,1
"2015-01-07",48008,"beauty",13,70.53,916.89,1
"2015-01-07",48008,"foodsme",11,49.79,547.69,1
"2015-01-07",48009,"fashionsme",173,100.44,17376.12,1
"2015-01-07",48009,"restaurant",38,51.9,1972.2,1
"2015-01-07",48009,"pharmacy",26,33.24,864.24,1
"2015-01-07",48009,"beauty",24,102.51,2460.24,1
"2015-01-07",48009,"foodsme",14,22.52,315.28,1
"2015-01-07",48010,"fashionsme",35,64.49,2257.15,1
"2015-01-07",48010,"beauty",27,80.48,2172.96,1
"2015-01-07",48010,"pharmacy",15,33.9,508.5,1
"2015-01-07",48010,"restaurant",14,33.57,469.98,1
"2015-01-07",48010,"foodsme",8,25.9,207.2,1
"2015-01-07",48011,"fashionsme",352,89.22,31405.44,1
"2015-01-07",48011,"restaurant",32,60.58,1938.56,1
"2015-01-07",48011,"pharmacy",16,25.73,411.68,1
"2015-01-07",48011,"beauty",8,56,448,1
"2015-01-07",48011,"foodsme",6,28.95,173.7,1
"2015-01-07",48012,"pharmacy",18,35.69,642.42,1
"2015-01-07",48012,"fashionsme",10,32.19,321.9,1
"2015-01-07",48012,"foodsme",5,33.66,168.3,1
"2015-01-07",48012,"beauty",4,43.45,173.8,1
"2015-01-07",48012,"restaurant",2,16.5,33,1
"2015-01-07",48013,"foodsme",12,24.98,299.76,1
"2015-01-07",48013,"beauty",12,81.57,978.84,1
"2015-01-07",48013,"fashionsme",10,95.25,952.5,1
"2015-01-07",48013,"pharmacy",9,28.24,254.16,1
"2015-01-07",48013,"restaurant",9,69.27,623.43,1
"2015-01-07",48014,"fashionsme",31,86.83,2691.73,1
"2015-01-07",48014,"foodsme",23,37.01,851.23,1
"2015-01-07",48014,"pharmacy",20,33.82,676.4,1
"2015-01-07",48014,"beauty",16,35.28,564.48,1
"2015-01-07",48014,"restaurant",11,18.49,203.39,1
"2015-01-08",48001,"restaurant",64,57.52,3681.28,1
"2015-01-08",48001,"fashionsme",32,94.11,3011.52,1
"2015-01-08",48001,"pharmacy",16,29.12,465.92,1
"2015-01-08",48001,"beauty",15,211.99,3179.85,1
"2015-01-08",48001,"foodsme",10,42.66,426.6,1
"2015-01-08",48002,"fashionsme",4,98,392,1
"2015-01-08",48002,"beauty",3,24.29,72.87,1
"2015-01-08",48002,"pharmacy",3,20.1,60.3,1
"2015-01-08",48002,"foodsme",1,8.52,8.52,1
"2015-01-08",48003,"foodsme",10,27.95,279.5,1
"2015-01-08",48003,"pharmacy",7,70.81,495.67,1
"2015-01-08",48003,"restaurant",6,19.43,116.58,1
"2015-01-08",48003,"beauty",6,53.2,319.2,1
"2015-01-08",48003,"fashionsme",2,37.6,75.2,1
"2015-01-08",48004,"fashionsme",28,90.77,2541.56,1
"2015-01-08",48004,"pharmacy",20,27.5,550,1
"2015-01-08",48004,"foodsme",15,23.33,349.95,1
"2015-01-08",48004,"beauty",6,38.58,231.48,1
"2015-01-08",48004,"restaurant",3,10.2,30.6,1
"2015-01-08",48005,"fashionsme",109,66.42,7239.78,1
"2015-01-08",48005,"foodsme",15,33.35,500.25,1
"2015-01-08",48005,"restaurant",11,37.66,414.26,1
"2015-01-08",48005,"beauty",7,44.39,310.73,1
"2015-01-08",48005,"pharmacy",6,26.46,158.76,1
"2015-01-08",48006,"foodsme",35,35.73,1250.55,1
"2015-01-08",48006,"fashionsme",10,50.32,503.2,1
"2015-01-08",48006,"beauty",5,39.22,196.1,1
"2015-01-08",48006,"pharmacy",5,48.44,242.2,1
"2015-01-08",48006,"restaurant",2,25,50,1
"2015-01-08",48007,"fashionsme",17,68.75,1168.75,1
"2015-01-08",48007,"pharmacy",10,37.36,373.6,1
"2015-01-08",48007,"foodsme",7,22.18,155.26,1
"2015-01-08",48007,"beauty",4,25.58,102.32,1
"2015-01-08",48007,"restaurant",3,39.67,119.01,1
"2015-01-08",48008,"fashionsme",45,81.25,3656.25,1
"2015-01-08",48008,"restaurant",42,29.17,1225.14,1
"2015-01-08",48008,"pharmacy",29,40.94,1187.26,1
"2015-01-08",48008,"beauty",16,59.12,945.92,1
"2015-01-08",48008,"foodsme",11,47.22,519.42,1
"2015-01-08",48010,"foodsme",39,28.87,1125.93,1
"2015-01-08",48010,"fashionsme",27,101.83,2749.41,1
"2015-01-08",48010,"beauty",18,48.44,871.92,1
"2015-01-08",48010,"pharmacy",12,25.38,304.56,1
"2015-01-08",48010,"restaurant",12,57.23,686.76,1
"2015-01-08",48011,"fashionsme",232,93.2,21622.4,1
"2015-01-08",48011,"restaurant",34,71.46,2429.64,1
"2015-01-08",48011,"pharmacy",19,26.84,509.96,1
"2015-01-08",48011,"beauty",18,56.33,1013.94,1
"2015-01-08",48011,"foodsme",4,57.44,229.76,1
"2015-01-08",48012,"pharmacy",17,36.18,615.06,1
"2015-01-08",48012,"fashionsme",10,61.03,610.3,1
"2015-01-08",48012,"beauty",8,74.81,598.48,1
"2015-01-08",48012,"foodsme",4,42.08,168.32,1
"2015-01-08",48012,"restaurant",3,43,129,1
"2015-01-08",48013,"foodsme",15,35.96,539.4,1
"2015-01-08",48013,"restaurant",11,57.5,632.5,1
"2015-01-08",48013,"fashionsme",10,76.44,764.4,1
"2015-01-08",48013,"pharmacy",8,38.54,308.32,1
"2015-01-08",48013,"beauty",6,45.37,272.22,1
"2015-01-08",48014,"foodsme",55,24.98,1373.9,1
"2015-01-08",48014,"fashionsme",30,65.34,1960.2,1
"2015-01-08",48014,"pharmacy",23,34.52,793.96,1
"2015-01-08",48014,"restaurant",10,15.66,156.6,1
"2015-01-08",48014,"beauty",8,36.72,293.76,1
"2015-01-08",48015,"pharmacy",14,24.88,348.32,1
"2015-01-08",48015,"beauty",12,48.35,580.2,1
"2015-01-08",48015,"fashionsme",6,42.45,254.7,1
"2015-01-08",48015,"foodsme",3,142.28,426.84,1
"2015-01-08",48015,"restaurant",3,103.89,311.67,1
"2015-01-09",48001,"restaurant",50,110.63,5531.5,1
"2015-01-09",48001,"fashionsme",26,82.77,2152.02,1
"2015-01-09",48001,"beauty",18,75.67,1362.06,1
"2015-01-09",48001,"foodsme",15,85.88,1288.2,1
"2015-01-09",48001,"pharmacy",11,28.58,314.38,1
"2015-01-09",48002,"pharmacy",7,27.03,189.21,1
"2015-01-09",48002,"beauty",3,61.97,185.91,1
"2015-01-09",48002,"fashionsme",3,43.83,131.49,1
"2015-01-09",48002,"restaurant",1,11.5,11.5,1
"2015-01-09",48003,"pharmacy",15,30.02,450.3,1
"2015-01-09",48003,"restaurant",8,43.5,348,1
"2015-01-09",48003,"foodsme",5,36.72,183.6,1
"2015-01-09",48003,"beauty",4,25.75,103,1
"2015-01-09",48003,"fashionsme",2,29.6,59.2,1
"2015-01-09",48004,"fashionsme",24,56.23,1349.52,1
"2015-01-09",48004,"pharmacy",22,36.14,795.08,1
"2015-01-09",48004,"foodsme",13,29,377,1
"2015-01-09",48004,"beauty",11,42.28,465.08,1
"2015-01-09",48004,"restaurant",1,10.2,10.2,1
"2015-01-09",48005,"fashionsme",103,78.61,8096.83,1
"2015-01-09",48005,"restaurant",25,35.18,879.5,1
"2015-01-09",48005,"foodsme",9,37.77,339.93,1
"2015-01-09",48005,"pharmacy",9,29.39,264.51,1
"2015-01-09",48005,"beauty",8,62.94,503.52,1
"2015-01-09",48006,"foodsme",47,27.2,1278.4,1
"2015-01-09",48006,"fashionsme",13,54.64,710.32,1
"2015-01-09",48006,"pharmacy",11,28.47,313.17,1
"2015-01-09",48006,"beauty",8,45.06,360.48,1
"2015-01-09",48006,"restaurant",2,22,44,1
"2015-01-09",48008,"restaurant",45,57.86,2603.7,1
"2015-01-09",48008,"fashionsme",43,99.01,4257.43,1
"2015-01-09",48008,"pharmacy",21,55.4,1163.4,1
"2015-01-09",48008,"foodsme",18,62.24,1120.32,1
"2015-01-09",48008,"beauty",13,91.3,1186.9,1
"2015-01-09",48009,"fashionsme",122,91.13,11117.86,1
"2015-01-09",48009,"restaurant",69,75.57,5214.33,1
"2015-01-09",48009,"beauty",30,57.08,1712.4,1
"2015-01-09",48009,"foodsme",20,34.79,695.8,1
"2015-01-09",48009,"pharmacy",13,20.82,270.66,1
"2015-01-09",48010,"foodsme",57,30.88,1760.16,1
"2015-01-09",48010,"beauty",29,57.78,1675.62,1
"2015-01-09",48010,"fashionsme",18,59.1,1063.8,1
"2015-01-09",48010,"restaurant",13,63.74,828.62,1
"2015-01-09",48010,"pharmacy",11,21.94,241.34,1
"2015-01-09",48011,"fashionsme",254,83.81,21287.74,1
"2015-01-09",48011,"pharmacy",17,41.34,702.78,1
"2015-01-09",48011,"restaurant",17,47.03,799.51,1
"2015-01-09",48011,"beauty",12,55.97,671.64,1
"2015-01-09",48011,"foodsme",4,51.44,205.76,1
"2015-01-09",48012,"fashionsme",22,44.23,973.06,1
"2015-01-09",48012,"pharmacy",15,21.86,327.9,1
"2015-01-09",48012,"foodsme",6,24.11,144.66,1
"2015-01-09",48012,"beauty",3,37.5,112.5,1
"2015-01-09",48012,"restaurant",2,44.6,89.2,1
"2015-01-09",48013,"foodsme",19,22.53,428.07,1
"2015-01-09",48013,"restaurant",15,42.91,643.65,1
"2015-01-09",48013,"beauty",13,59.94,779.22,1
"2015-01-09",48013,"fashionsme",11,55.3,608.3,1
"2015-01-09",48013,"pharmacy",6,27.36,164.16,1
"2015-01-09",48014,"foodsme",50,42.21,2110.5,1
"2015-01-09",48014,"pharmacy",30,28.45,853.5,1
"2015-01-09",48014,"fashionsme",29,70.4,2041.6,1
"2015-01-09",48014,"beauty",26,46.78,1216.28,1
"2015-01-09",48014,"restaurant",15,27.92,418.8,1
"2015-01-09",48015,"beauty",19,38.83,737.77,1
"2015-01-09",48015,"fashionsme",8,60.71,485.68,1
"2015-01-09",48015,"foodsme",7,31.9,223.3,1
