ID,X314,X119,X118,X127,X6_g,X6_j,X3_c,X51,X27,X58,X100,X324,X351,y
112,0,0,0,1,0,1,0,0,1,1,0,1,0,91.44
116,0,0,0,1,1,0,1,0,1,1,1,1,1,91.52
118,0,1,1,1,0,0,0,0,0,0,0,0,0,91.59
119,0,1,1,0,0,0,0,1,1,1,1,1,0,108.0
124,1,1,1,0,0,0,0,1,1,1,1,1,1,116.59
125,0,0,0,1,0,0,0,1,0,1,0,1,0,93.81
127,1,1,1,0,0,0,1,1,0,1,0,1,0,119.44
128,0,0,0,1,0,0,0,1,1,0,1,0,0,91.57
129,1,0,0,0,0,1,1,1,1,0,1,0,0,97.24
130,0,1,1,1,0,0,1,0,1,1,1,1,1,90.11
131,1,0,0,0,0,0,1,1,0,0,1,0,0,94.83
133,1,1,1,0,0,0,1,1,0,0,1,0,0,108.42
134,0,0,0,1,1,0,1,0,0,1,1,1,0,95.57
136,0,1,1,1,0,0,0,1,0,1,0,1,0,88.82
139,1,0,0,0,0,0,1,1,1,0,1,0,0,104.78
141,0,0,0,1,1,0,1,1,0,1,0,1,0,87.75
143,0,0,0,1,1,0,0,1,1,1,1,1,0,93.27
145,1,1,1,0,0,0,1,0,1,0,1,0,1,111.74
146,1,1,1,0,0,1,1,1,1,0,1,0,0,109.76
147,0,0,0,0,0,0,0,1,1,0,0,0,0,84.15
150,0,0,0,1,1,0,1,1,1,1,1,1,0,93.67
151,1,1,1,0,0,1,1,1,1,1,1,1,1,107.72
152,0,1,1,1,0,1,1,1,1,1,1,1,1,90.87
153,1,0,0,0,1,0,1,1,1,1,1,1,1,118.24
154,0,1,1,1,0,0,0,1,0,0,1,0,0,89.91
158,1,1,1,0,1,0,1,1,1,0,1,0,1,113.4
159,0,0,0,1,1,0,1,0,0,1,1,1,0,118.53
160,0,0,0,0,0,1,0,0,1,0,0,0,0,79.03
161,0,1,1,1,1,0,1,0,1,1,1,1,0,92.47
164,1,0,0,0,1,0,1,1,1,1,1,1,1,100.98
165,0,1,1,1,1,0,0,1,0,1,0,1,0,114.76
166,1,1,1,0,0,1,1,1,1,0,1,0,0,111.15
168,1,1,1,0,0,0,1,1,1,1,1,1,0,108.57
169,0,0,0,1,0,0,0,1,0,1,0,1,0,93.03
170,0,0,0,1,0,1,1,0,1,1,1,1,0,93.12
171,0,1,1,0,0,1,0,1,1,1,1,1,1,113.31
173,0,1,1,1,1,0,0,1,1,0,1,0,1,94.27
174,1,0,0,0,0,1,1,0,0,0,0,0,0,102.31
175,0,1,1,1,1,0,1,0,1,1,1,1,0,101.59
176,1,1,1,0,0,1,0,1,0,1,0,1,1,110.37
177,1,0,0,0,0,0,1,1,0,0,1,0,0,98.84
178,0,1,1,1,1,0,1,1,1,1,1,1,0,101.98
184,0,1,1,1,0,1,1,1,1,1,1,1,1,96.96
186,0,0,0,1,1,0,0,1,0,0,1,0,1,90.8
190,1,1,1,0,0,1,1,0,1,1,0,1,0,110.98
197,0,0,0,0,0,1,1,1,1,1,1,1,1,73.7
200,0,1,1,0,0,1,1,1,0,1,0,1,1,111.42
202,0,1,1,1,0,0,1,0,1,1,1,1,0,98.91
203,1,1,1,0,0,0,1,1,1,0,1,0,0,106.46
207,1,1,1,0,0,1,1,0,1,1,0,1,0,115.43
208,0,0,0,1,0,0,0,1,1,1,1,1,1,91.94
209,1,1,1,0,0,0,0,1,1,0,1,0,0,108.37
212,1,1,1,0,0,1,1,0,1,1,0,1,0,127.66
213,0,1,1,1,0,1,1,0,1,1,1,1,1,93.62
214,1,1,1,0,0,0,1,1,1,0,1,0,0,106.67
215,0,0,0,1,1,0,0,0,1,0,1,0,0,96.06
217,0,0,0,1,0,0,1,1,1,1,1,1,0,92.5
218,0,0,0,1,0,1,0,0,0,0,0,0,1,92.35
222,0,1,1,1,1,0,1,0,1,1,1,1,1,102.97
223,1,1,1,0,0,1,0,1,1,1,1,1,1,109.43
224,1,1,1,0,0,1,1,0,1,1,0,1,0,106.31
225,0,0,0,1,0,0,0,1,0,0,1,0,0,87.15
229,0,1,1,1,0,1,1,1,0,1,1,1,0,107.83
232,0,1,1,0,0,1,0,1,1,1,0,1,1,112.75
233,0,0,0,1,1,0,1,0,0,1,1,1,0,89.49
234,1,1,1,0,0,0,0,1,0,0,1,0,0,126.17
237,1,0,0,0,0,0,0,1,1,0,0,0,1,100.38
239,0,0,0,1,0,0,0,1,0,1,0,1,0,95.42
240,1,1,1,0,1,0,1,1,1,1,1,1,1,112.39
241,0,1,1,1,0,0,1,1,1,0,0,0,0,92.7
246,0,1,1,1,0,0,1,1,1,1,1,1,0,88.78
252,1,0,0,0,0,0,0,1,1,1,1,1,0,105.15
255,1,1,1,0,0,0,0,1,1,0,1,0,1,118.74
260,1,1,1,0,0,0,1,1,1,1,1,1,0,116.61
261,0,0,0,1,0,0,0,0,0,0,0,0,0,90.99
263,1,0,0,0,0,1,1,1,0,1,1,1,1,113.28
264,0,1,1,1,0,1,1,0,1,1,0,1,1,101.43
265,1,1,1,0,0,1,1,0,1,1,0,1,0,113.69
268,0,0,0,1,1,0,1,0,1,1,1,1,0,87.09
269,1,1,1,0,1,0,1,1,1,1,1,1,1,116.73
270,0,1,1,1,1,0,1,0,1,1,1,1,1,89.02
271,1,0,0,0,0,0,1,1,1,1,1,1,1,102.52
274,0,1,1,1,0,0,1,1,0,0,1,0,0,98.68
277,0,0,0,1,0,0,0,1,1,0,1,0,0,91.24
278,0,0,0,1,0,0,0,1,0,1,0,1,0,96.88
281,0,1,1,1,0,0,1,1,0,1,1,1,0,90.54
282,1,1,1,0,0,1,0,1,1,0,0,0,1,110.96
284,0,0,0,1,0,0,1,1,1,1,1,1,0,88.92
286,0,1,1,1,0,0,1,0,1,1,1,1,0,92.36
287,1,0,0,0,0,0,1,1,1,1,1,1,1,102.46
294,0,1,1,1,0,1,1,0,1,1,1,1,0,89.23
295,1,1,1,0,0,0,1,1,1,0,1,0,1,110.02
300,1,0,0,0,0,1,1,0,0,0,0,0,0,96.78
301,1,0,0,0,0,0,0,1,0,0,1,0,1,101.66
302,0,1,1,1,0,1,1,0,1,1,1,1,1,87.26
303,1,1,1,0,1,0,1,1,1,1,1,1,0,111.55
308,0,1,1,1,0,0,1,1,1,0,1,0,0,88.1
309,1,0,0,0,0,0,1,1,0,1,0,1,1,101.07
310,0,1,1,1,0,0,0,0,0,1,0,1,0,96.41
312,0,1,1,1,0,0,1,0,1,1,1,1,1,92.74
315,1,1,1,0,1,0,0,1,1,0,1,0,0,112.44
317,1,1,1,0,0,1,1,0,0,0,0,0,0,105.74
318,0,0,0,1,1,0,0,1,1,1,1,1,0,89.1
319,1,1,1,0,0,1,1,1,0,0,1,0,0,108.97
320,0,1,1,1,1,0,1,1,1,1,1,1,0,87.65
321,1,1,1,0,0,0,0,1,1,1,1,1,1,116.08
322,1,1,1,0,0,0,0,1,0,1,0,1,1,108.84
323,0,0,0,1,0,1,0,1,0,1,0,1,0,94.75
325,0,1,1,1,0,0,0,0,0,1,1,1,0,94.92
326,1,0,0,0,0,0,1,0,0,0,0,0,0,106.44
328,1,1,1,0,0,0,1,1,0,0,1,0,1,108.87
331,0,1,1,1,0,0,1,1,1,1,0,1,0,90.68
332,1,1,1,0,1,0,0,1,1,0,1,0,0,104.08
333,1,1,1,0,0,0,1,1,0,1,0,1,0,109.69
334,0,1,1,1,0,1,1,1,1,1,0,1,0,90.27
335,1,0,0,0,0,0,1,1,0,0,1,0,0,105.77
336,0,1,1,1,0,0,1,1,1,0,1,0,0,94.17
341,1,0,0,0,1,0,0,1,0,0,0,0,1,97.33
342,0,1,1,1,1,0,1,0,1,1,1,1,0,90.33
344,1,1,1,0,0,0,0,1,1,0,1,0,1,105.87
348,0,1,1,1,0,1,0,1,1,0,0,0,1,98.25
351,1,1,1,0,1,0,0,1,1,0,1,0,0,106.14
355,0,0,0,1,1,0,0,0,1,0,1,0,1,90.17
356,1,1,1,0,0,0,1,1,0,1,1,1,1,110.91
359,1,1,1,0,1,0,1,1,0,1,0,1,0,108.25
360,0,0,0,1,0,1,0,1,0,1,0,1,0,98.16
361,1,1,1,0,0,0,1,1,0,0,1,0,1,113.17
363,0,0,0,1,0,0,0,1,0,0,1,0,0,90.03
369,1,0,0,0,0,0,0,1,0,0,0,0,1,100.85
371,0,1,1,1,0,1,1,1,1,1,1,1,0,89.48
372,1,1,1,0,1,0,0,1,1,1,0,1,1,116.65
374,1,0,0,0,0,0,1,1,1,0,1,0,1,99.06
375,0,1,1,1,0,1,1,0,1,1,0,1,0,94.02
376,0,1,1,0,1,0,1,1,0,1,1,1,0,110.55
379,0,1,1,1,0,0,1,0,1,1,1,1,1,94.8
380,1,0,0,0,0,0,1,1,0,0,1,0,0,105.47
381,0,1,1,1,0,0,0,1,1,0,1,0,1,91.5
383,0,1,1,1,0,1,0,1,1,0,1,0,0,87.44
385,0,0,0,0,0,1,1,1,1,0,1,0,1,79.09
386,0,1,1,1,0,1,1,1,1,1,0,1,0,89.67
387,1,1,1,0,0,0,0,1,1,1,1,1,1,121.15
388,0,1,1,1,0,0,0,1,1,0,1,0,0,97.81
389,1,0,0,0,0,0,0,1,0,1,0,1,0,99.08
391,0,0,0,1,0,0,0,1,1,0,1,0,0,87.79
394,0,1,1,0,0,0,1,1,1,1,0,1,0,119.76
397,0,1,1,1,0,0,1,0,1,1,1,1,1,90.01
398,1,0,0,0,0,1,0,1,0,0,0,0,1,98.96
400,0,1,1,1,0,1,1,0,0,1,1,1,0,90.54
401,1,1,1,0,0,0,1,1,0,0,1,0,0,108.28
402,0,0,0,1,0,0,0,0,1,0,1,0,0,88.1
403,1,1,1,0,1,0,0,1,1,0,1,0,0,116.2
404,0,1,1,1,0,1,1,0,0,0,1,0,0,90.88
405,0,0,0,1,0,0,0,0,0,0,1,0,0,87.65
407,0,1,1,1,0,0,1,0,1,1,1,1,1,94.61
411,0,1,1,1,0,0,1,1,0,0,1,0,0,96.16
414,1,1,1,0,0,0,1,1,1,1,1,1,1,117.03
415,0,0,0,1,0,1,1,1,0,1,1,1,0,91.23
417,0,1,1,1,0,0,0,1,1,0,1,0,0,91.02
418,1,0,0,0,1,0,0,1,1,1,1,1,1,102.89
422,1,1,1,0,0,0,0,1,0,1,1,1,0,110.53
423,0,1,1,1,1,0,1,1,1,1,0,1,0,102.6
424,0,0,0,0,0,1,1,1,1,0,1,0,1,77.36
425,1,1,1,0,0,0,0,1,1,1,1,1,1,113.11
426,0,0,0,1,0,1,1,1,1,1,1,1,1,88.39
427,1,1,1,0,0,0,1,1,0,1,1,1,0,108.85
428,0,1,1,1,1,0,1,0,1,1,1,1,1,90.79
429,1,0,0,0,1,0,1,1,1,0,1,0,1,98.28
431,1,0,0,0,0,0,1,1,0,1,0,1,0,109.11
432,0,1,1,1,0,0,0,1,1,1,1,1,0,88.82
435,1,0,0,0,0,0,0,0,1,0,0,0,0,102.58
441,1,0,0,0,0,0,1,1,1,1,1,1,0,115.67
442,0,0,0,1,1,0,0,0,1,0,1,0,0,90.54
444,0,1,1,1,0,1,1,1,0,1,1,1,0,87.66
445,1,0,0,0,0,0,1,1,1,0,0,0,0,115.25
447,1,0,0,0,0,1,1,0,0,0,0,0,0,106.87
449,0,1,1,0,0,0,1,1,1,1,1,1,0,128.78
450,0,0,0,1,1,0,0,0,1,0,0,0,0,89.86
451,1,1,1,0,0,1,0,1,1,0,1,0,1,132.1
454,0,1,1,1,0,0,1,0,1,0,1,0,0,90.73
455,0,0,0,0,0,0,0,1,1,1,1,1,0,134.43
456,0,1,1,1,0,0,0,1,1,0,1,0,0,104.16
461,0,1,1,1,0,0,1,1,1,1,1,1,0,97.42
463,0,1,1,1,0,1,1,1,0,1,1,1,0,99.05
466,0,1,1,1,1,0,0,1,1,1,0,1,0,91.16
468,1,0,0,0,0,1,0,1,0,0,0,0,1,103.98
469,1,0,0,0,0,0,1,1,1,0,1,0,0,100.29
470,0,1,1,1,1,0,1,1,0,1,1,1,0,99.35
474,1,1,1,0,0,1,1,0,0,0,0,0,0,106.19
476,1,0,0,0,1,0,1,1,0,0,0,0,1,109.3
477,1,1,1,0,0,1,0,1,1,1,1,1,1,108.46
478,0,1,1,1,0,1,1,1,1,1,0,1,0,118.45
479,1,0,0,0,1,0,0,0,1,1,0,1,1,101.26
481,1,0,0,0,1,0,1,1,1,1,1,1,1,116.5
482,0,1,1,1,0,0,1,0,1,1,0,1,0,88.21
483,1,1,1,0,0,1,1,0,0,1,0,1,0,114.46
484,0,1,1,1,1,0,0,0,1,1,1,1,0,96.97
485,0,1,1,1,0,0,0,1,0,0,1,0,0,97.91
486,1,1,1,0,0,1,0,1,1,0,1,0,0,108.43
487,0,0,0,1,1,0,0,1,0,0,1,0,1,90.38
489,0,0,0,1,1,0,0,1,0,0,1,0,0,90.19
494,1,1,1,0,1,0,0,1,0,1,1,1,0,122.69
495,0,0,0,1,0,0,1,0,1,1,1,1,0,90.47
496,1,1,1,0,0,0,0,1,1,0,1,0,1,110.56
503,0,0,0,1,0,0,0,0,1,0,1,0,0,91.01
504,1,1,1,0,1,0,0,1,0,0,1,0,0,122.24
507,0,1,1,1,1,0,1,1,0,1,1,1,0,90.82
508,1,0,0,0,0,1,1,0,1,1,0,1,0,100.98
509,0,1,1,1,0,0,0,0,0,0,0,0,0,89.85
513,1,1,1,0,0,0,0,1,0,1,1,1,0,107.9
514,0,1,1,1,0,1,1,0,1,1,1,1,1,90.92
515,1,1,1,0,0,0,0,1,0,0,1,0,1,109.1
517,1,1,1,0,1,0,1,1,0,1,0,1,0,112.38
520,0,0,0,1,1,0,1,1,0,1,0,1,0,88.42
523,0,1,1,1,1,0,1,0,1,1,1,1,0,87.58
524,1,1,1,0,0,0,0,1,1,1,1,1,1,106.4
525,0,0,0,1,0,0,1,1,0,1,1,1,0,89.81
527,0,1,1,1,0,1,0,1,1,0,0,0,1,91.22
528,0,0,0,0,1,0,0,1,1,1,1,1,0,76.64
530,1,1,1,0,0,1,1,1,1,1,1,1,1,111.75
531,0,0,0,1,0,0,0,0,0,0,0,0,0,95.04
534,1,1,1,0,1,0,1,1,1,1,1,1,1,111.31
535,0,0,0,1,0,0,0,0,1,0,0,0,0,92.23
538,1,1,1,0,0,0,1,1,0,1,0,1,0,111.77
542,1,1,1,0,1,0,0,1,1,0,1,0,0,121.19
544,1,0,0,0,0,0,0,1,1,0,1,0,0,99.56
545,0,1,1,1,0,1,0,1,1,1,0,1,0,89.4
549,0,0,0,1,0,1,1,0,1,1,1,1,0,90.93
550,1,1,1,0,0,0,0,1,1,1,1,1,1,112.54
553,0,1,1,1,0,0,0,1,1,0,1,0,0,99.05
554,1,0,0,0,0,1,0,1,1,1,1,1,1,108.75
555,0,1,1,1,0,0,1,1,1,1,0,1,0,104.56
561,0,1,1,1,0,1,1,0,1,1,1,1,1,92.94
563,0,1,1,1,0,1,0,1,1,1,1,1,0,89.94
564,0,0,0,1,0,0,0,0,1,1,1,1,1,102.06
565,1,1,1,0,0,0,0,1,0,1,0,1,0,108.31
567,1,1,1,0,1,0,0,1,0,1,1,1,1,110.21
568,0,0,0,1,1,0,1,0,1,1,0,1,0,88.45
569,0,0,0,1,1,0,1,0,1,1,1,1,0,87.05
574,0,0,0,1,0,0,0,0,1,0,0,0,0,89.59
578,1,1,1,0,0,0,1,1,1,0,1,0,1,109.94
582,0,1,1,1,0,1,0,1,1,0,1,0,0,95.99
583,1,0,0,0,0,0,0,1,1,0,1,0,0,119.51
584,0,1,1,1,0,1,0,1,1,1,0,1,0,105.23
585,1,0,0,0,0,0,0,1,1,1,1,1,1,104.32
586,0,1,1,1,1,0,1,0,1,1,0,1,1,91.26
587,0,0,0,0,0,1,0,1,1,0,0,0,0,76.59
588,0,1,1,1,0,1,1,0,1,1,0,1,0,87.25
590,0,1,1,1,1,0,1,0,1,1,1,1,1,90.52
592,0,1,1,1,0,0,0,1,0,0,1,0,0,92.62
596,1,1,1,0,1,0,1,1,1,1,1,1,1,114.34
597,1,1,1,0,0,0,0,0,0,0,0,0,1,108.43
599,1,1,1,0,0,1,1,1,1,1,1,1,0,117.52
600,0,0,0,1,0,1,1,0,1,1,0,1,0,94.95
601,0,1,1,1,0,0,1,1,0,1,1,1,0,90.67
603,0,0,0,1,0,1,1,1,1,1,1,1,0,90.39
605,0,1,1,1,0,1,0,1,1,0,1,0,0,89.03
607,1,0,0,0,0,0,0,1,0,0,0,0,1,107.67
611,0,0,0,1,0,0,0,0,0,0,1,0,0,91.82
612,1,1,1,0,0,1,0,1,0,1,0,1,0,111.08
613,0,1,1,1,0,0,1,1,0,1,0,1,0,89.44
614,1,0,0,0,1,0,0,1,1,0,1,0,1,99.48
615,0,1,1,1,1,0,0,1,1,1,0,1,0,94.85
619,0,1,1,1,0,1,1,0,1,1,1,1,1,99.82
621,0,1,1,1,1,0,0,1,1,0,0,0,0,91.65
625,0,0,0,1,0,0,1,0,0,1,1,1,0,89.41
627,0,0,0,1,0,1,0,0,1,1,1,1,0,89.17
631,0,1,1,1,0,0,0,1,1,1,1,1,1,88.59
632,0,1,1,0,1,0,0,1,1,1,0,1,0,107.45
633,0,0,0,1,0,1,0,0,1,1,1,1,0,85.76
634,1,1,1,0,0,0,0,1,0,0,0,0,0,113.98
635,0,0,0,1,0,0,0,1,1,0,1,0,0,87.81
636,1,1,1,0,0,1,0,1,1,0,1,0,0,113.36
639,0,0,0,0,1,0,0,0,1,0,0,0,0,74.0
640,0,1,1,1,1,0,1,0,1,1,0,1,0,92.92
641,1,1,1,0,0,0,1,1,1,1,1,1,1,106.06
642,0,1,1,1,0,0,0,0,0,0,0,0,0,91.96
644,1,0,0,0,0,0,0,1,0,1,0,1,0,102.7
647,0,0,0,1,0,0,0,1,0,0,1,0,0,90.27
649,1,0,0,0,0,0,0,1,1,1,1,1,1,100.56
650,0,1,1,1,0,1,1,0,1,1,1,1,0,89.05
651,1,1,1,0,0,0,0,1,1,0,1,0,0,120.18
655,0,0,0,1,0,0,0,0,1,0,0,0,0,86.98
658,0,1,1,0,0,0,1,1,1,1,1,1,0,110.49
661,0,1,1,1,0,0,0,1,0,0,1,0,0,93.08
662,1,1,1,0,0,0,0,1,0,1,0,1,0,112.49
665,0,1,1,1,1,0,1,0,1,1,0,1,0,94.12
667,0,1,1,1,0,1,0,1,1,0,1,0,0,88.69
670,1,0,0,0,1,0,0,1,1,1,1,1,0,104.38
672,1,1,1,0,0,0,0,1,0,0,1,0,0,115.07
673,0,0,0,1,1,0,1,1,0,1,1,1,0,92.03
674,1,1,1,0,0,0,0,1,0,1,0,1,0,106.97
676,0,1,1,0,1,0,0,1,1,1,1,1,1,116.04
680,0,1,1,1,0,0,0,0,1,1,1,1,0,91.63
683,1,1,1,0,0,0,0,1,0,1,1,1,1,103.67
684,0,1,1,1,1,0,0,0,1,1,1,1,1,98.52
686,1,0,0,0,0,0,0,1,1,1,1,1,1,109.48
689,0,0,0,1,1,0,0,1,0,0,1,0,1,96.03
690,1,1,1,0,0,0,1,1,0,0,0,0,1,107.16
691,0,0,0,1,0,1,0,0,1,1,1,1,0,94.09
692,0,0,0,1,1,0,0,1,0,0,1,0,1,87.27
694,1,1,1,0,0,0,0,1,1,0,1,0,0,105.35
695,1,0,0,0,0,0,0,1,0,0,0,0,1,97.75
697,1,0,0,0,0,1,1,0,0,0,0,0,0,104.74
699,0,0,0,1,0,0,1,1,1,0,1,0,0,91.62
700,1,1,1,0,0,0,0,0,0,0,0,0,1,115.5
702,1,0,0,0,1,0,0,1,1,0,1,0,0,102.66
703,0,1,1,1,0,1,0,1,1,0,1,0,0,92.48
706,0,1,1,1,0,0,0,1,1,0,0,0,0,99.05
707,1,0,0,0,0,1,0,1,0,0,0,0,0,102.0
708,1,0,0,0,1,0,1,1,1,1,1,1,0,100.32
713,0,0,0,0,0,0,0,1,1,0,1,0,1,74.28
718,1,1,1,0,0,1,0,1,1,1,0,1,0,112.35
719,0,1,1,1,1,0,1,0,1,1,1,1,0,92.58
722,1,1,1,0,0,0,1,1,0,0,0,0,1,116.59
723,0,1,1,1,0,1,1,0,1,1,1,1,1,100.64
727,0,0,0,1,0,1,0,1,1,0,1,0,0,95.38
729,0,0,0,1,1,0,0,0,1,0,0,0,0,84.65
730,1,1,1,0,0,1,0,1,0,0,1,0,1,112.67
732,0,0,0,0,0,1,0,0,1,0,0,0,0,73.34
733,0,1,1,1,0,0,0,1,1,0,0,0,0,94.11
735,0,0,0,1,1,0,0,1,0,0,1,0,1,95.13
736,1,1,1,0,1,0,0,1,1,0,1,0,0,108.43
737,0,1,1,1,1,0,1,0,1,1,1,1,1,89.23
739,1,1,1,0,0,1,1,1,0,1,0,1,0,112.19
740,0,1,1,1,1,0,0,1,0,1,1,1,0,91.02
741,1,1,1,0,0,0,1,1,1,1,1,1,0,108.27
742,0,0,0,1,0,0,0,0,1,0,1,0,0,87.9
743,0,1,1,0,0,1,1,1,1,1,1,1,0,109.16
744,0,1,1,1,0,0,1,0,1,1,1,1,1,99.48
747,1,1,1,0,1,0,1,1,1,1,1,1,0,110.35
748,0,1,1,1,1,0,1,0,1,1,1,1,1,91.53
749,1,1,1,0,1,0,0,1,1,0,1,0,0,106.63
750,0,0,0,1,0,0,0,1,0,1,0,1,0,88.79
752,0,1,1,1,0,0,0,1,1,1,1,1,1,98.24
753,1,1,1,0,1,0,1,1,1,1,1,1,0,109.99
755,1,1,1,0,0,0,0,1,1,1,1,1,1,107.74
757,1,1,1,0,0,0,0,1,0,1,0,1,1,109.73
760,0,0,0,1,0,0,1,0,1,1,0,1,0,91.04
762,0,0,0,1,0,1,0,1,0,0,1,0,0,95.1
763,1,1,1,0,0,1,0,1,1,0,1,0,0,105.21
764,0,1,1,1,1,0,1,0,1,1,1,1,1,87.51
765,1,0,0,0,0,1,0,0,0,1,0,1,0,99.7
775,0,0,0,1,0,0,0,1,1,0,1,0,1,91.44
778,0,1,1,0,0,0,1,1,1,1,0,1,1,122.47
779,0,0,0,1,0,0,1,0,1,1,1,1,0,97.76
781,0,1,1,1,1,0,1,1,1,1,1,1,1,88.07
783,0,1,1,1,0,0,1,1,0,1,1,1,0,105.85
784,1,0,0,0,0,0,0,1,0,0,0,0,1,117.49
785,0,1,1,1,0,1,1,1,1,1,1,1,1,97.69
786,0,1,1,1,1,0,1,0,1,1,1,1,1,92.91
789,0,0,0,0,0,1,1,1,1,0,1,0,1,77.14
790,0,0,0,1,1,0,0,0,1,1,1,1,1,91.21
791,1,1,1,0,0,0,0,1,1,1,1,1,1,107.76
794,0,1,1,1,0,0,1,0,0,1,0,1,0,93.98
795,1,0,0,0,0,0,0,1,1,0,1,0,1,97.36
796,0,1,1,1,0,1,1,0,1,1,0,1,0,102.49
797,1,0,0,0,0,0,1,1,1,1,1,1,1,112.46
799,0,1,1,0,0,0,0,1,0,1,1,1,0,114.61
801,1,1,1,0,0,1,1,1,1,0,1,0,0,108.93
802,0,0,0,1,1,0,0,1,0,0,1,0,1,88.58
803,1,1,1,0,1,0,0,1,1,0,1,0,0,111.92
804,0,1,1,1,0,1,1,0,1,1,1,1,0,94.51
805,1,0,0,0,0,1,1,1,1,0,1,0,0,100.39
807,0,1,1,1,0,1,1,0,1,1,1,1,1,90.87
808,0,1,1,1,0,0,0,1,0,1,0,1,0,93.21
810,0,1,1,1,0,1,1,0,1,1,1,1,0,116.16
813,1,1,1,0,1,0,0,1,1,1,1,1,1,108.08
815,0,1,1,1,0,0,1,0,1,1,1,1,1,98.01
819,0,1,1,1,0,0,1,1,1,1,1,1,0,90.84
821,0,0,0,1,1,0,0,1,0,0,1,0,1,93.67
824,0,0,0,0,0,1,1,1,1,0,1,0,1,77.31
825,0,0,0,1,0,0,1,1,0,0,1,0,0,103.46
826,1,1,1,0,0,1,1,1,1,1,1,1,1,107.37
827,0,1,1,1,0,1,0,1,0,0,0,0,0,88.99
828,1,1,1,0,0,0,1,1,1,0,1,0,0,128.05
832,1,1,1,0,1,0,0,1,0,0,1,0,0,112.66
833,0,0,0,1,0,0,1,1,1,1,1,1,0,90.16
835,0,1,1,1,1,0,1,0,1,1,1,1,0,92.2
837,0,0,0,1,0,1,0,1,1,1,1,1,0,94.14
838,0,1,1,0,0,1,1,1,1,1,0,1,0,111.7
840,0,1,1,1,0,0,0,1,1,1,0,1,0,89.99
842,1,0,0,0,0,0,0,1,1,1,1,1,1,98.45
843,0,1,1,1,0,0,0,1,1,1,1,1,0,88.72
846,0,0,0,1,1,0,0,1,1,0,1,0,1,99.98
847,1,1,1,0,1,0,0,1,1,0,1,0,0,103.98
849,1,1,1,0,0,0,0,1,1,1,1,1,1,108.19
853,1,1,1,0,0,0,1,1,1,1,1,1,1,110.1
857,0,1,1,1,0,0,1,0,1,1,0,1,1,93.14
858,0,1,1,1,0,1,0,0,1,0,1,0,1,100.21
