"Id","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","SaleCondition"
517,"IR1","Lvl","AllPub","Corner","Gtl","NWAmes","Norm","Norm","1Fam","SLvl",6,6,1972,1,"TA",7,"Typ",1,"TA","Attchd",1972,"Abnorml"
518,"IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",7,5,1996,1,"Gd",7,"Typ",1,"TA","Attchd",1996,"Normal"
519,"IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","2Story",6,5,1998,1,"TA",7,"Typ",0,NA,"Attchd",1998,"Normal"
520,"Reg","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,9,1926,1,"Gd",9,"Typ",2,"Gd","Detchd",1926,"Normal"
521,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story",4,7,1900,2,"TA",7,"Typ",0,NA,NA,NA,"Normal"
522,"IR1","Lvl","AllPub","Corner","Gtl","NAmes","Feedr","Norm","1Fam","1Story",6,6,1957,1,"TA",6,"Typ",2,"Gd","Attchd",1957,"Normal"
523,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Feedr","Norm","1Fam","1.5Fin",6,7,1947,1,"TA",7,"Typ",2,"Gd","Detchd",1950,"Normal"
524,"IR1","Bnk","AllPub","Inside","Gtl","Edwards","PosN","PosN","1Fam","2Story",10,5,2007,1,"Ex",11,"Typ",1,"Gd","BuiltIn",2007,"Partial"
525,"IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",7,5,1996,1,"Gd",8,"Typ",1,"TA","Attchd",1996,"Normal"
526,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",7,5,2005,1,"Gd",6,"Typ",1,"TA","Attchd",2005,"Normal"
527,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1956,1,"TA",4,"Typ",0,NA,"Attchd",1956,"Normal"
528,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2008,1,"Ex",11,"Typ",1,"Gd","Attchd",2008,"Partial"
529,"IR1","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,7,1920,1,"TA",5,"Typ",0,NA,NA,NA,"Normal"
530,"IR1","Lvl","AllPub","CulDSac","Gtl","Crawfor","Norm","Norm","1Fam","1Story",6,3,1957,2,"TA",9,"Maj1",2,"TA","Attchd",1975,"Alloca"
1000,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,1,"Gd",6,"Typ",0,NA,"Attchd",2006,"Normal"
1001,"Reg","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story",3,3,1952,1,"Fa",4,"Min1",0,NA,"Detchd",1956,"Normal"
1002,"Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","1Story",5,6,1920,1,"Ex",4,"Typ",0,NA,"Detchd",1920,"Abnorml"
1003,"IR1","Lvl","AllPub","Inside","Gtl","Somerst","RRAn","Norm","1Fam","1Story",8,5,2006,1,"Gd",7,"Typ",1,"Gd","Attchd",2006,"Normal"
1004,"IR1","Lvl","AllPub","Corner","Gtl","NWAmes","Feedr","RRAn","Duplex","1Story",5,6,1976,2,"TA",8,"Typ",0,NA,"Detchd",1976,"Normal"
1005,"Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2005,1,"Gd",7,"Typ",1,"Gd","Attchd",2005,"Normal"
1006,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","SLvl",5,8,1977,1,"TA",6,"Typ",0,NA,"Attchd",1977,"Normal"
1007,"IR3","Lvl","AllPub","Inside","Gtl","NAmes","PosN","Norm","1Fam","1Story",6,3,1970,1,"TA",7,"Typ",1,"TA","Attchd",1970,"Normal"
1008,"Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","2Story",4,4,1970,1,"TA",6,"Typ",0,NA,"Attchd",1970,"Normal"
1009,"IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","1Story",7,5,2004,1,"Gd",7,"Typ",1,"Gd","Attchd",2004,"Normal"
1010,"Reg","Lvl","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","1.5Fin",5,5,1926,1,"TA",7,"Typ",0,NA,NA,NA,"Normal"
1011,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1.5Fin",5,5,1948,1,"TA",7,"Typ",1,"Gd","Attchd",1948,"Normal"
1012,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story",5,5,1965,2,"TA",8,"Typ",0,NA,NA,NA,"Normal"
1013,"Reg","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","2Story",6,7,1923,1,"Gd",7,"Typ",2,"TA","Detchd",1923,"Normal"
1014,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",5,4,1910,1,"TA",4,"Maj2",0,NA,"Detchd",1956,"Normal"
1015,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Artery","Norm","1Fam","1Story",6,5,1948,1,"TA",5,"Typ",1,"Gd","Detchd",1948,"Normal"
1016,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story",8,6,2001,1,"Gd",6,"Typ",0,NA,"Attchd",2001,"Normal"
1017,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,1996,1,"Gd",6,"Typ",1,"TA","Attchd",1996,"Normal"
1018,"IR1","Lvl","AllPub","CulDSac","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1984,1,"Gd",4,"Typ",1,"Ex","Attchd",1984,"Abnorml"
1019,"IR1","Lvl","AllPub","FR2","Gtl","Gilbert","Norm","Norm","1Fam","SLvl",7,5,1991,1,"Gd",7,"Typ",1,"TA","Attchd",1991,"Normal"
1020,"Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2005,1,"Gd",6,"Typ",1,"Gd","Attchd",2005,"Normal"
1021,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,5,2005,1,"Gd",5,"Typ",0,NA,"Attchd",2005,"Normal"
1022,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,1,"Gd",6,"Typ",0,NA,"Attchd",2006,"Partial"
1023,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",5,5,1930,1,"TA",6,"Typ",0,NA,"Detchd",1957,"Normal"
1024,"Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2005,1,"Gd",7,"Typ",1,"Gd","Attchd",2005,"Normal"
1025,"IR1","Lvl","AllPub","Corner","Gtl","Timber","Norm","Norm","1Fam","1Story",8,6,1976,1,"Gd",10,"Typ",1,"Gd","Attchd",1976,"Abnorml"
1026,"Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,5,1972,1,"TA",5,"Typ",0,NA,"Detchd",1980,"Normal"
1027,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Feedr","Norm","1Fam","1Story",5,5,1960,1,"TA",6,"Typ",2,"Gd","Attchd",1960,"Normal"
1028,"IR1","HLS","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",8,5,2007,1,"Gd",7,"Typ",1,"Gd","Attchd",2008,"Partial"
1029,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Artery","Norm","1Fam","1.5Fin",5,5,1941,1,"TA",6,"Typ",1,"Gd","Attchd",1941,"Normal"
1030,"Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,7,1972,1,"TA",7,"Typ",0,NA,"Detchd",1972,"Normal"
1031,"Reg","Lvl","AllPub","Inside","Gtl","SWISU","Norm","Norm","2fmCon","2Story",5,8,1916,2,"TA",10,"Typ",0,NA,NA,NA,"Normal"
1032,"Reg","Lvl","AllPub","Corner","Gtl","SWISU","Norm","Norm","1Fam","2.5Fin",7,3,1920,1,"TA",12,"Typ",2,"TA","Basment",1970,"Normal"
1033,"IR1","Lvl","AllPub","Corner","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,7,1993,1,"Gd",10,"Typ",1,"TA","Attchd",1993,"Abnorml"
1034,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2002,1,"Gd",6,"Typ",0,NA,"Attchd",2002,"Normal"
1035,"Reg","Bnk","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","1Story",5,7,1938,1,"Fa",5,"Typ",1,"Gd","Basment",1938,"Normal"
1036,"IR1","Lvl","AllPub","CulDSac","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,3,1957,1,"TA",5,"Typ",0,NA,"Detchd",1957,"Normal"
1037,"IR1","HLS","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",9,5,2007,1,"Ex",6,"Typ",1,"Ex","Attchd",2008,"Normal"
1038,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",8,5,2001,1,"Gd",7,"Typ",1,"TA","BuiltIn",2001,"Normal"
1039,"Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","Twnhs","2Story",4,6,1970,1,"TA",6,"Typ",1,"TA",NA,NA,"Normal"
1040,"Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","SFoyer",4,4,1970,1,"TA",3,"Typ",0,NA,"Attchd",1970,"Normal"
1041,"Reg","Lvl","AllPub","Corner","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,4,1957,1,"TA",8,"Maj1",1,"TA","Attchd",1957,"Normal"
1042,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Feedr","Norm","1Fam","2Story",6,8,1966,1,"Gd",7,"Typ",0,NA,"Attchd",1966,"Normal"
1043,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","1Story",6,5,2005,1,"Gd",5,"Typ",1,"Gd","Attchd",2005,"Normal"
1044,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,1990,1,"Gd",10,"Typ",1,"Ex","Attchd",1990,"Normal"
1045,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","PosN","Norm","1Fam","1Story",8,5,1981,1,"Gd",9,"Typ",1,"Gd","Attchd",1981,"Normal"
1046,"IR1","Lvl","AllPub","CulDSac","Gtl","Edwards","Norm","Norm","1Fam","1Story",3,5,1955,1,"TA",8,"Min2",1,"Gd","Attchd",1955,"Normal"
1047,"IR1","Lvl","AllPub","Inside","Gtl","StoneBr","Norm","Norm","1Fam","2Story",9,5,2005,1,"Ex",11,"Typ",1,"Gd","BuiltIn",2005,"Partial"
1048,"IR2","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,5,1994,1,"TA",5,"Typ",0,NA,"Detchd",1996,"Normal"
1049,"Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1Story",5,4,1960,1,"TA",9,"Min1",1,"TA","Attchd",1960,"Normal"
1050,"Reg","Low","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,7,1946,1,"Gd",6,"Typ",0,NA,"Detchd",1946,"Abnorml"
1051,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",7,5,2007,1,"Gd",6,"Typ",0,NA,"Attchd",2007,"Partial"
1052,"IR1","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2007,1,"Gd",6,"Typ",1,"Gd","Attchd",2007,"Partial"
1053,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Artery","Norm","1Fam","2Story",6,6,1964,1,"TA",9,"Typ",1,"TA","Attchd",1964,"Normal"
1054,"Reg","Lvl","AllPub","Inside","Mod","Edwards","Norm","Norm","1Fam","1Story",5,6,1957,1,"TA",7,"Min2",1,"Gd","Basment",1957,"Normal"
1055,"Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","2Story",8,5,2002,1,"Gd",7,"Typ",1,"Gd","Attchd",2002,"Normal"
1056,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,5,1976,1,"TA",7,"Typ",1,"TA","Attchd",1976,"Abnorml"
1057,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",7,5,2005,1,"Gd",6,"Typ",1,"Gd","Attchd",2005,"Normal"
1058,"IR2","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",7,6,1994,1,"Gd",7,"Typ",1,"Gd","BuiltIn",1994,"Normal"
1059,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2008,1,"Ex",10,"Typ",1,"Gd","Attchd",2008,"Normal"
1060,"IR1","HLS","AllPub","Corner","Mod","Crawfor","Norm","Norm","1Fam","1.5Fin",6,7,1932,1,"TA",7,"Typ",1,"Gd","Detchd",1977,"Normal"
1061,"Reg","Lvl","AllPub","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,2001,1,"Gd",6,"Typ",0,NA,"Attchd",2001,"Normal"
1062,"Reg","Low","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1Story",3,4,1935,1,"TA",6,"Typ",0,NA,"Detchd",1994,"Normal"
1063,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story",5,5,1900,2,"TA",10,"Min2",0,NA,"Detchd",1945,"Normal"
1064,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1Story",6,6,1925,1,"Gd",5,"Typ",1,"Gd","Detchd",1976,"Normal"
1065,"IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1966,1,"TA",6,"Typ",1,"Po","Attchd",1966,"Normal"
1066,"Reg","Lvl","AllPub","Inside","Mod","ClearCr","Norm","Norm","1Fam","2Story",7,5,1996,1,"Gd",7,"Typ",0,NA,"Attchd",1996,"Normal"
1067,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,7,1993,1,"TA",7,"Typ",1,"TA","Attchd",1993,"Normal"
1068,"Reg","Lvl","AllPub","Inside","Mod","NAmes","Norm","Norm","1Fam","2Story",6,6,1964,1,"TA",7,"Typ",0,NA,"Attchd",1964,"Normal"
1069,"Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","2Story",6,4,1973,1,"TA",10,"Maj1",1,"Gd","Attchd",1973,"Normal"
1070,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1.5Unf",5,7,1949,1,"Gd",4,"Typ",0,NA,"Detchd",1985,"Normal"
1071,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1956,1,"TA",6,"Typ",0,NA,"Attchd",1956,"Normal"
1072,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","RRAn","Norm","1Fam","2Story",6,6,1968,1,"TA",8,"Typ",0,NA,"Attchd",1968,"Normal"
1073,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Artery","Norm","1Fam","1.5Fin",5,3,1948,1,"TA",7,"Typ",1,"TA","Detchd",1954,"Normal"
1074,"IR1","Bnk","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","2Story",6,6,1977,1,"TA",6,"Typ",0,NA,"Attchd",1977,"Normal"
1075,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,1,"Gd",5,"Typ",0,NA,"Attchd",2006,"Normal"
1076,"Reg","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,6,1940,1,"TA",6,"Typ",2,"Gd","Attchd",1940,"Normal"
1077,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",5,8,1936,1,"Gd",7,"Min1",1,"TA","Attchd",1950,"Normal"
1078,"IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1969,1,"TA",6,"Typ",0,NA,"Attchd",1969,"Abnorml"
1079,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","TwnhsE","1Story",6,5,2004,1,"Gd",3,"Typ",1,"Gd","Attchd",2004,"Normal"
1080,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,5,1994,1,"TA",5,"Typ",0,NA,"Attchd",1996,"Normal"
1081,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,7,1971,1,"Gd",5,"Typ",0,NA,"Attchd",1971,"Abnorml"
1082,"Reg","Lvl","AllPub","Corner","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",5,5,1963,1,"TA",5,"Typ",0,NA,"Attchd",1963,"Normal"
1083,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2002,1,"Gd",6,"Typ",1,"Gd","Attchd",2002,"Normal"
1084,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,1964,1,"TA",6,"Typ",2,"Gd","Attchd",1964,"Normal"
1085,"IR2","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1995,1,"TA",6,"Typ",1,"TA","Attchd",1995,"Normal"
1086,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","SFoyer",6,6,1992,1,"Gd",5,"Typ",0,NA,"Attchd",1992,"Normal"
1087,"Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","2Story",4,5,1973,1,"TA",6,"Typ",0,NA,"Attchd",1973,"Normal"
1088,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",8,5,2005,1,"Gd",9,"Typ",1,"Gd","Attchd",2005,"Normal"
1089,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Twnhs","2Story",7,5,2004,1,"Gd",7,"Maj1",0,NA,"Detchd",2004,"Normal"
1090,"IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","1Story",8,5,2005,1,"Gd",4,"Typ",1,"Gd","Attchd",2005,"Normal"
1091,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","Duplex","1Story",3,4,1950,2,"TA",6,"Typ",0,NA,"Detchd",1987,"Normal"
1092,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",7,5,1999,1,"Gd",4,"Typ",0,NA,"Detchd",1999,"Normal"
1093,"Reg","Bnk","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","1.5Fin",6,5,1925,1,"TA",7,"Typ",1,"Gd","Detchd",1925,"Normal"
1094,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Feedr","Norm","1Fam","1Story",5,8,1965,1,"Gd",6,"Typ",0,NA,"Detchd",1977,"Normal"
1095,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1956,1,"TA",4,"Typ",0,NA,"Attchd",1956,"Normal"
1096,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",6,5,2006,1,"Gd",6,"Typ",1,"Gd","Attchd",2006,"Normal"
1097,"Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","2Story",6,7,1914,1,"Gd",7,"Typ",0,NA,NA,NA,"Normal"
1098,"Reg","Lvl","AllPub","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1986,1,"Gd",5,"Typ",0,NA,"Attchd",1987,"Normal"
1099,"Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",4,6,1936,1,"TA",6,"Typ",0,NA,"Detchd",1936,"Normal"
1100,"IR1","Lvl","AllPub","Inside","Gtl","NWAmes","RRAn","Norm","1Fam","1Story",7,5,1978,1,"TA",7,"Typ",1,"TA","Attchd",1978,"Abnorml"
1101,"Reg","Bnk","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","1Story",2,5,1920,1,"Fa",3,"Typ",0,NA,"Detchd",1930,"Normal"
1102,"IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1971,1,"TA",5,"Typ",0,NA,"Detchd",1981,"Normal"
1103,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1960,1,"TA",6,"Typ",0,NA,"Attchd",1960,"Family"
1104,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,1959,1,"TA",6,"Typ",1,"Fa","BuiltIn",1954,"Normal"
1105,"Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","TwnhsE","2Story",5,5,1970,1,"TA",6,"Typ",0,NA,"Detchd",1970,"Normal"
1106,"IR1","Lvl","AllPub","Corner","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1994,1,"Gd",9,"Typ",2,"TA","Attchd",1994,"Normal"
1107,"IR1","Lvl","AllPub","Corner","Gtl","SawyerW","Feedr","Norm","1Fam","1Story",7,5,1990,1,"Gd",6,"Typ",1,"TA","Attchd",1990,"Normal"
1108,"IR3","HLS","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2006,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2006,"Partial"
